neighbourhood_group,average_price,total_listings
Bronx,87.54963235294117,1088
Brooklyn,124.46628486055776,20080
Manhattan,196.90657055724978,21642
Queens,99.53601694915254,5664
Staten Island,114.81233243967829,373
